Codigo;Setor
RRRP3;Petróleo e Gas
TTEN3;Agro e Pesca
QVQP3B;Energia Elétrica
ABCB4;Finanças e Seguros
EALT3;Siderur & Metalur
EALT4;Siderur & Metalur
AERI3;Máquinas Indust
AESB3;Energia Elétrica
AESO3;Energia Elétrica
AFLT3;Energia Elétrica
GRAO3;Agro e Pesca
AGXY3;Agro e Pesca
BRGE3;Outros
BRGE5;Outros
BRGE6;Outros
BRGE7;Outros
BRGE8;Outros
BRGE11;Outros
BRGE12;Outros
CRIV3;Finanças e Seguros
CRIV4;Finanças e Seguros
RPAD3;Outros
RPAD5;Outros
RPAD6;Outros
BRIV3;Finanças e Seguros
BRIV4;Finanças e Seguros
ALSO3;Outros
APTI3;Siderur & Metalur
APTI4;Siderur & Metalur
FRRN3B;Transporte Serviç
FRRN5B;Transporte Serviç
FRRN6B;Transporte Serviç
AALR3;Outros
ALLD3;Comércio
ALPA3;Textil
ALPA4;Textil
APER3;Finanças e Seguros
AVLL3;Construção
ALUP3;Energia Elétrica
ALUP4;Energia Elétrica
ALUP11;Energia Elétrica
BAZA3;Finanças e Seguros
ABEV3;Alimentos e Beb
AMBP3;Outros
AMER3;Comércio
CBEE3;Energia Elétrica
ANIM3;Outros
ARZZ3;Textil
ARML3;Outros
ASAI3;Comércio
ATMP3;Outros
ATOM3;Telecomunicações
AURA33;Mineração
AURE3;Energia Elétrica
AZEV3;Construção
AZEV4;Construção
AZUL4;Transporte Serviç
BLUT3;Alimentos e Beb
BLUT4;Alimentos e Beb
B3SA3;Finanças e Seguros
BAHI3;Outros
BMGB4;Finanças e Seguros
BPAN4;Finanças e Seguros
BPAN12;Finanças e Seguros
BGIP3;Finanças e Seguros
BGIP4;Finanças e Seguros
BEES3;Finanças e Seguros
BEES4;Finanças e Seguros
BPAR3;Finanças e Seguros
BRSR3;Finanças e Seguros
BRSR5;Finanças e Seguros
BRSR6;Finanças e Seguros
BDLL3;Máquinas Indust
BDLL4;Máquinas Indust
BALM3;Outros
BALM4;Outros
BBML3;Transporte Serviç
BBSE3;Finanças e Seguros
BMOB3;Software e Dados
BETP3B;Finanças e Seguros
BMKS3;Veiculos e peças
BIOM3;Outros
BKBR3;Outros
BLAU3;Química
SOJA3;Agro e Pesca
BOAS3;Software e Dados
BOBR3;Química
BOBR4;Química
BRML3;Outros
BRBI11;Finanças e Seguros
BRPR3;Outros
BBDC3;Finanças e Seguros
BBDC4;Finanças e Seguros
BRAP3;Outros
BRAP4;Outros
BRAP99;Outros
BBAS3;Finanças e Seguros
AGRO3;Agro e Pesca
BRKM3;Química
BRKM5;Química
BRKM6;Química
BSLI3;Finanças e Seguros
BSLI4;Finanças e Seguros
BRFS3;Alimentos e Beb
BRIT3;Outros
